1	0.002542	0.004832	0.002127	0.002331
2	0.003774	0.009130	0.003707	0.003861
3	0.008613	0.013858	0.006101	0.007694
4	0.009346	0.021090	0.008630	0.009472
5	0.011285	0.030056	0.010927	0.012748
6	0.015353	0.031020	0.020423	0.016299
7	0.016400	0.040854	0.016104	0.018233
8	0.021435	0.042388	0.020827	0.018976
9	0.024149	0.050678	0.021352	0.023666
10	0.026394	0.046016	0.023835	0.024363
11	0.018837	0.063971	0.019715	0.020888
12	0.020959	0.065886	0.025350	0.020771
13	0.024091	0.059646	0.026296	0.023971
14	0.024947	0.070889	0.026074	0.025543
15	0.026066	0.077902	0.036574	0.035489
16	0.027725	0.073515	0.033395	0.038669
17	0.034145	0.079436	0.031616	0.035254
18	0.036087	0.089411	0.039233	0.042189
19	0.039815	0.092824	0.042853	0.036601
